Date,Cash,Invested,Portfolio,Open Positions
1993-04-29,100000.0,0.0,100000.0,0
1993-04-30,100000.0,0.0,100000.0,0
1993-05-03,100000.0,0.0,100000.0,0
1993-05-04,100000.0,0.0,100000.0,0
1993-05-05,100000.0,0.0,100000.0,0
1993-05-06,100000.0,0.0,100000.0,0
1993-05-07,100000.0,0.0,100000.0,0
1993-05-10,100000.0,0.0,100000.0,0
1993-05-11,100000.0,0.0,100000.0,0
1993-05-12,100000.0,0.0,100000.0,0
1993-05-13,100000.0,0.0,100000.0,0
1993-05-14,100000.0,0.0,100000.0,0
1993-05-17,100000.0,0.0,100000.0,0
1993-05-18,100000.0,0.0,100000.0,0
1993-05-19,100000.0,0.0,100000.0,0
1993-05-20,100000.0,0.0,100000.0,0
1993-05-21,100000.0,0.0,100000.0,0
1993-05-24,100000.0,0.0,100000.0,0
1993-05-25,100000.0,0.0,100000.0,0
1993-05-26,100000.0,0.0,100000.0,0
1993-05-27,100000.0,0.0,100000.0,0
1993-05-28,100000.0,0.0,100000.0,0
1993-05-31,100000.0,0.0,100000.0,0
1993-06-01,100000.0,0.0,100000.0,0
1993-06-02,100000.0,0.0,100000.0,0
1993-06-03,100000.0,0.0,100000.0,0
1993-06-04,100000.0,0.0,100000.0,0
1993-06-07,100000.0,0.0,100000.0,0
1993-06-08,100000.0,0.0,100000.0,0
1993-06-09,100000.0,0.0,100000.0,0
1993-06-10,100000.0,0.0,100000.0,0
1993-06-11,100000.0,0.0,100000.0,0
1993-06-14,100000.0,0.0,100000.0,0
1993-06-15,100000.0,0.0,100000.0,0
1993-06-16,100000.0,0.0,100000.0,0
1993-06-17,100000.0,0.0,100000.0,0
1993-06-18,100000.0,0.0,100000.0,0
1993-06-21,100000.0,0.0,100000.0,0
1993-06-22,100000.0,0.0,100000.0,0
1993-06-23,100000.0,0.0,100000.0,0
1993-06-24,100000.0,0.0,100000.0,0
1993-06-25,100000.0,0.0,100000.0,0
1993-06-28,100000.0,0.0,100000.0,0
1993-06-29,100000.0,0.0,100000.0,0
1993-06-30,100000.0,0.0,100000.0,0
1993-07-01,100000.0,0.0,100000.0,0
1993-07-02,100000.0,0.0,100000.0,0
1993-07-05,100000.0,0.0,100000.0,0
1993-07-06,100000.0,0.0,100000.0,0
1993-07-07,100000.0,0.0,100000.0,0
1993-07-08,100000.0,0.0,100000.0,0
1993-07-09,100000.0,0.0,100000.0,0
1993-07-12,100000.0,0.0,100000.0,0
1993-07-13,100000.0,0.0,100000.0,0
1993-07-14,100000.0,0.0,100000.0,0
1993-07-15,100000.0,0.0,100000.0,0
1993-07-16,100000.0,0.0,100000.0,0
1993-07-19,100000.0,0.0,100000.0,0
1993-07-20,100000.0,0.0,100000.0,0
1993-07-21,100000.0,0.0,100000.0,0
1993-07-22,100000.0,0.0,100000.0,0
1993-07-23,100000.0,0.0,100000.0,0
1993-07-26,100000.0,0.0,100000.0,0
1993-07-27,100000.0,0.0,100000.0,0
1993-07-28,100000.0,0.0,100000.0,0
1993-07-29,100000.0,0.0,100000.0,0
1993-07-30,100000.0,0.0,100000.0,0
1993-08-02,100000.0,0.0,100000.0,0
1993-08-03,100000.0,0.0,100000.0,0
1993-08-04,100000.0,0.0,100000.0,0
1993-08-05,100000.0,0.0,100000.0,0
1993-08-06,100000.0,0.0,100000.0,0
1993-08-09,100000.0,0.0,100000.0,0
1993-08-10,100000.0,0.0,100000.0,0
1993-08-11,100000.0,0.0,100000.0,0
1993-08-12,100000.0,0.0,100000.0,0
1993-08-13,100000.0,0.0,100000.0,0
1993-08-16,100000.0,0.0,100000.0,0
1993-08-17,100000.0,0.0,100000.0,0
1993-08-18,100000.0,0.0,100000.0,0
1993-08-19,100000.0,0.0,100000.0,0
1993-08-20,100000.0,0.0,100000.0,0
1993-08-23,100000.0,0.0,100000.0,0
1993-08-24,100000.0,0.0,100000.0,0
1993-08-25,100000.0,0.0,100000.0,0
1993-08-26,100000.0,0.0,100000.0,0
1993-08-27,100000.0,0.0,100000.0,0
1993-08-30,100000.0,0.0,100000.0,0
1993-08-31,100000.0,0.0,100000.0,0
1993-09-01,100000.0,0.0,100000.0,0
1993-09-02,100000.0,0.0,100000.0,0
1993-09-03,100000.0,0.0,100000.0,0
1993-09-06,100000.0,0.0,100000.0,0
1993-09-07,100000.0,0.0,100000.0,0
1993-09-08,100000.0,0.0,100000.0,0
1993-09-09,100000.0,0.0,100000.0,0
1993-09-10,100000.0,0.0,100000.0,0
1993-09-13,100000.0,0.0,100000.0,0
1993-09-14,100000.0,0.0,100000.0,0
1993-09-15,100000.0,0.0,100000.0,0
1993-09-16,100000.0,0.0,100000.0,0
1993-09-17,100000.0,0.0,100000.0,0
1993-09-20,100000.0,0.0,100000.0,0
1993-09-21,100000.0,0.0,100000.0,0
1993-09-22,100000.0,0.0,100000.0,0
1993-09-23,100000.0,0.0,100000.0,0
1993-09-24,100000.0,0.0,100000.0,0
1993-09-27,100000.0,0.0,100000.0,0
1993-09-28,100000.0,0.0,100000.0,0
1993-09-29,100000.0,0.0,100000.0,0
1993-09-30,100000.0,0.0,100000.0,0
1993-10-01,100000.0,0.0,100000.0,0
1993-10-04,100000.0,0.0,100000.0,0
1993-10-05,100000.0,0.0,100000.0,0
1993-10-06,100000.0,0.0,100000.0,0
1993-10-07,100000.0,0.0,100000.0,0
1993-10-08,100000.0,0.0,100000.0,0
1993-10-11,100000.0,0.0,100000.0,0
1993-10-12,100000.0,0.0,100000.0,0
1993-10-13,100000.0,0.0,100000.0,0
1993-10-14,100000.0,0.0,100000.0,0
1993-10-15,100000.0,0.0,100000.0,0
1993-10-18,100000.0,0.0,100000.0,0
1993-10-19,100000.0,0.0,100000.0,0
1993-10-20,100000.0,0.0,100000.0,0
1993-10-21,100000.0,0.0,100000.0,0
1993-10-22,100000.0,0.0,100000.0,0
1993-10-25,100000.0,0.0,100000.0,0
1993-10-26,100000.0,0.0,100000.0,0
1993-10-27,100000.0,0.0,100000.0,0
1993-10-28,100000.0,0.0,100000.0,0
1993-10-29,100000.0,0.0,100000.0,0
1993-11-01,100000.0,0.0,100000.0,0
1993-11-02,100000.0,0.0,100000.0,0
1993-11-03,100000.0,0.0,100000.0,0
1993-11-04,100000.0,0.0,100000.0,0
1993-11-05,100000.0,0.0,100000.0,0
1993-11-08,100000.0,0.0,100000.0,0
1993-11-09,100000.0,0.0,100000.0,0
1993-11-10,100000.0,0.0,100000.0,0
1993-11-11,100000.0,0.0,100000.0,0
1993-11-12,100000.0,0.0,100000.0,0
1993-11-15,100000.0,0.0,100000.0,0
1993-11-16,100000.0,0.0,100000.0,0
1993-11-17,100000.0,0.0,100000.0,0
1993-11-18,100000.0,0.0,100000.0,0
1993-11-19,100000.0,0.0,100000.0,0
1993-11-22,100000.0,0.0,100000.0,0
1993-11-23,100000.0,0.0,100000.0,0
1993-11-24,100000.0,0.0,100000.0,0
1993-11-25,100000.0,0.0,100000.0,0
1993-11-26,100000.0,0.0,100000.0,0
1993-11-29,100000.0,0.0,100000.0,0
1993-11-30,100000.0,0.0,100000.0,0
1993-12-01,100000.0,0.0,100000.0,0
1993-12-02,100000.0,0.0,100000.0,0
1993-12-03,100000.0,0.0,100000.0,0
1993-12-06,100000.0,0.0,100000.0,0
1993-12-07,100000.0,0.0,100000.0,0
1993-12-08,100000.0,0.0,100000.0,0
1993-12-09,100000.0,0.0,100000.0,0
1993-12-10,100000.0,0.0,100000.0,0
1993-12-13,100000.0,0.0,100000.0,0
1993-12-14,100000.0,0.0,100000.0,0
1993-12-15,100000.0,0.0,100000.0,0
1993-12-16,100000.0,0.0,100000.0,0
1993-12-17,100000.0,0.0,100000.0,0
1993-12-20,100000.0,0.0,100000.0,0
1993-12-21,100000.0,0.0,100000.0,0
1993-12-22,100000.0,0.0,100000.0,0
1993-12-23,100000.0,0.0,100000.0,0
1993-12-24,100000.0,0.0,100000.0,0
1993-12-27,100000.0,0.0,100000.0,0
1993-12-28,100000.0,0.0,100000.0,0
1993-12-29,100000.0,0.0,100000.0,0
1993-12-30,100000.0,0.0,100000.0,0
1993-12-31,100000.0,0.0,100000.0,0
1994-01-03,100000.0,0.0,100000.0,0
1994-01-04,100000.0,0.0,100000.0,0
1994-01-05,100000.0,0.0,100000.0,0
1994-01-06,100000.0,0.0,100000.0,0
1994-01-07,100000.0,0.0,100000.0,0
1994-01-10,100000.0,0.0,100000.0,0
1994-01-11,100000.0,0.0,100000.0,0
1994-01-12,100000.0,0.0,100000.0,0
1994-01-13,100000.0,0.0,100000.0,0
1994-01-14,100000.0,0.0,100000.0,0
1994-01-17,100000.0,0.0,100000.0,0
1994-01-18,100000.0,0.0,100000.0,0
1994-01-19,100000.0,0.0,100000.0,0
1994-01-20,100000.0,0.0,100000.0,0
1994-01-21,100000.0,0.0,100000.0,0
1994-01-24,100000.0,0.0,100000.0,0
1994-01-25,100000.0,0.0,100000.0,0
1994-01-26,100000.0,0.0,100000.0,0
1994-01-27,100000.0,0.0,100000.0,0
1994-01-28,100000.0,0.0,100000.0,0
1994-01-31,100000.0,0.0,100000.0,0
1994-02-01,100000.0,0.0,100000.0,0
1994-02-02,100000.0,0.0,100000.0,0
1994-02-03,100000.0,0.0,100000.0,0
1994-02-04,100000.0,0.0,100000.0,0
1994-02-07,100000.0,0.0,100000.0,0
1994-02-08,100000.0,0.0,100000.0,0
1994-02-09,100000.0,0.0,100000.0,0
1994-02-10,100000.0,0.0,100000.0,0
1994-02-11,100000.0,0.0,100000.0,0
1994-02-14,100000.0,0.0,100000.0,0
1994-02-15,100000.0,0.0,100000.0,0
1994-02-16,100000.0,0.0,100000.0,0
1994-02-17,100000.0,0.0,100000.0,0
1994-02-18,100000.0,0.0,100000.0,0
1994-02-21,100000.0,0.0,100000.0,0
1994-02-22,100000.0,0.0,100000.0,0
1994-02-23,100000.0,0.0,100000.0,0
1994-02-24,100000.0,0.0,100000.0,0
1994-02-25,100000.0,0.0,100000.0,0
1994-02-28,100000.0,0.0,100000.0,0
1994-03-01,100000.0,0.0,100000.0,0
1994-03-02,100000.0,0.0,100000.0,0
1994-03-03,100000.0,0.0,100000.0,0
1994-03-04,100000.0,0.0,100000.0,0
1994-03-07,100000.0,0.0,100000.0,0
1994-03-08,100000.0,0.0,100000.0,0
1994-03-09,100000.0,0.0,100000.0,0
1994-03-10,100000.0,0.0,100000.0,0
1994-03-11,100000.0,0.0,100000.0,0
1994-03-14,100000.0,0.0,100000.0,0
1994-03-15,100000.0,0.0,100000.0,0
1994-03-16,100000.0,0.0,100000.0,0
1994-03-17,100000.0,0.0,100000.0,0
1994-03-18,100000.0,0.0,100000.0,0
1994-03-21,100000.0,0.0,100000.0,0
1994-03-22,100000.0,0.0,100000.0,0
1994-03-23,100000.0,0.0,100000.0,0
1994-03-24,100000.0,0.0,100000.0,0
1994-03-25,100000.0,0.0,100000.0,0
1994-03-28,100000.0,0.0,100000.0,0
1994-03-29,100000.0,0.0,100000.0,0
1994-03-30,100000.0,0.0,100000.0,0
1994-03-31,100000.0,0.0,100000.0,0
1994-04-01,100000.0,0.0,100000.0,0
1994-04-04,100000.0,0.0,100000.0,0
1994-04-05,100000.0,0.0,100000.0,0
1994-04-06,100000.0,0.0,100000.0,0
1994-04-07,100000.0,0.0,100000.0,0
1994-04-08,100000.0,0.0,100000.0,0
1994-04-11,100000.0,0.0,100000.0,0
1994-04-12,100000.0,0.0,100000.0,0
1994-04-13,100000.0,0.0,100000.0,0
1994-04-14,100000.0,0.0,100000.0,0
1994-04-15,100000.0,0.0,100000.0,0
1994-04-18,100000.0,0.0,100000.0,0
1994-04-19,100000.0,0.0,100000.0,0
1994-04-20,100000.0,0.0,100000.0,0
1994-04-21,100000.0,0.0,100000.0,0
1994-04-22,100000.0,0.0,100000.0,0
1994-04-25,100000.0,0.0,100000.0,0
1994-04-26,100000.0,0.0,100000.0,0
1994-04-27,100000.0,0.0,100000.0,0
1994-04-28,100000.0,0.0,100000.0,0
1994-04-29,100000.0,0.0,100000.0,0
1994-05-02,100000.0,0.0,100000.0,0
1994-05-03,100000.0,0.0,100000.0,0
1994-05-04,100000.0,0.0,100000.0,0
1994-05-05,100000.0,0.0,100000.0,0
1994-05-06,100000.0,0.0,100000.0,0
1994-05-09,100000.0,0.0,100000.0,0
1994-05-10,100000.0,0.0,100000.0,0
1994-05-11,100000.0,0.0,100000.0,0
1994-05-12,100000.0,0.0,100000.0,0
1994-05-13,100000.0,0.0,100000.0,0
1994-05-16,100000.0,0.0,100000.0,0
1994-05-17,100000.0,0.0,100000.0,0
1994-05-18,100000.0,0.0,100000.0,0
1994-05-19,100000.0,0.0,100000.0,0
1994-05-20,100000.0,0.0,100000.0,0
1994-05-23,100000.0,0.0,100000.0,0
1994-05-24,100000.0,0.0,100000.0,0
1994-05-25,100000.0,0.0,100000.0,0
1994-05-26,100000.0,0.0,100000.0,0
1994-05-27,100000.0,0.0,100000.0,0
1994-05-30,100000.0,0.0,100000.0,0
1994-05-31,100000.0,0.0,100000.0,0
1994-06-01,100000.0,0.0,100000.0,0
1994-06-02,100000.0,0.0,100000.0,0
1994-06-03,100000.0,0.0,100000.0,0
1994-06-06,100000.0,0.0,100000.0,0
1994-06-07,100000.0,0.0,100000.0,0
1994-06-08,100000.0,0.0,100000.0,0
1994-06-09,100000.0,0.0,100000.0,0
1994-06-10,100000.0,0.0,100000.0,0
1994-06-13,100000.0,0.0,100000.0,0
1994-06-14,100000.0,0.0,100000.0,0
1994-06-15,100000.0,0.0,100000.0,0
1994-06-16,100000.0,0.0,100000.0,0
1994-06-17,100000.0,0.0,100000.0,0
1994-06-20,100000.0,0.0,100000.0,0
1994-06-21,100000.0,0.0,100000.0,0
1994-06-22,100000.0,0.0,100000.0,0
1994-06-23,100000.0,0.0,100000.0,0
1994-06-24,100000.0,0.0,100000.0,0
1994-06-27,100000.0,0.0,100000.0,0
1994-06-28,100000.0,0.0,100000.0,0
1994-06-29,100000.0,0.0,100000.0,0
1994-06-30,100000.0,0.0,100000.0,0
1994-07-01,100000.0,0.0,100000.0,0
1994-07-04,100000.0,0.0,100000.0,0
1994-07-05,100000.0,0.0,100000.0,0
1994-07-06,100000.0,0.0,100000.0,0
1994-07-07,100000.0,0.0,100000.0,0
1994-07-08,100000.0,0.0,100000.0,0
1994-07-11,100000.0,0.0,100000.0,0
1994-07-12,100000.0,0.0,100000.0,0
1994-07-13,100000.0,0.0,100000.0,0
1994-07-14,100000.0,0.0,100000.0,0
1994-07-15,100000.0,0.0,100000.0,0
1994-07-18,100000.0,0.0,100000.0,0
1994-07-19,100000.0,0.0,100000.0,0
1994-07-20,100000.0,0.0,100000.0,0
1994-07-21,100000.0,0.0,100000.0,0
1994-07-22,100000.0,0.0,100000.0,0
1994-07-25,100000.0,0.0,100000.0,0
1994-07-26,100000.0,0.0,100000.0,0
1994-07-27,100000.0,0.0,100000.0,0
1994-07-28,100000.0,0.0,100000.0,0
1994-07-29,100000.0,0.0,100000.0,0
1994-08-01,100000.0,0.0,100000.0,0
1994-08-02,100000.0,0.0,100000.0,0
1994-08-03,100000.0,0.0,100000.0,0
1994-08-04,100000.0,0.0,100000.0,0
1994-08-05,100000.0,0.0,100000.0,0
1994-08-08,100000.0,0.0,100000.0,0
1994-08-09,100000.0,0.0,100000.0,0
1994-08-10,100000.0,0.0,100000.0,0
1994-08-11,100000.0,0.0,100000.0,0
1994-08-12,100000.0,0.0,100000.0,0
1994-08-15,100000.0,0.0,100000.0,0
1994-08-16,100000.0,0.0,100000.0,0
1994-08-17,100000.0,0.0,100000.0,0
1994-08-18,100000.0,0.0,100000.0,0
1994-08-19,100000.0,0.0,100000.0,0
1994-08-22,100000.0,0.0,100000.0,0
1994-08-23,100000.0,0.0,100000.0,0
1994-08-24,100000.0,0.0,100000.0,0
1994-08-25,100000.0,0.0,100000.0,0
1994-08-26,100000.0,0.0,100000.0,0
1994-08-29,100000.0,0.0,100000.0,0
1994-08-30,100000.0,0.0,100000.0,0
1994-08-31,100000.0,0.0,100000.0,0
1994-09-01,100000.0,0.0,100000.0,0
1994-09-02,100000.0,0.0,100000.0,0
1994-09-05,100000.0,0.0,100000.0,0
1994-09-06,100000.0,0.0,100000.0,0
1994-09-07,100000.0,0.0,100000.0,0
1994-09-08,100000.0,0.0,100000.0,0
1994-09-09,100000.0,0.0,100000.0,0
1994-09-12,100000.0,0.0,100000.0,0
1994-09-13,100000.0,0.0,100000.0,0
1994-09-14,100000.0,0.0,100000.0,0
1994-09-15,100000.0,0.0,100000.0,0
1994-09-16,100000.0,0.0,100000.0,0
1994-09-19,100000.0,0.0,100000.0,0
1994-09-20,100000.0,0.0,100000.0,0
1994-09-21,100000.0,0.0,100000.0,0
1994-09-22,100000.0,0.0,100000.0,0
1994-09-23,100000.0,0.0,100000.0,0
1994-09-26,100000.0,0.0,100000.0,0
1994-09-27,100000.0,0.0,100000.0,0
1994-09-28,100000.0,0.0,100000.0,0
1994-09-29,100000.0,0.0,100000.0,0
1994-09-30,100000.0,0.0,100000.0,0
1994-10-03,100000.0,0.0,100000.0,0
1994-10-04,100000.0,0.0,100000.0,0
1994-10-05,100000.0,0.0,100000.0,0
1994-10-06,100000.0,0.0,100000.0,0
1994-10-07,100000.0,0.0,100000.0,0
1994-10-10,100000.0,0.0,100000.0,0
1994-10-11,100000.0,0.0,100000.0,0
1994-10-12,100000.0,0.0,100000.0,0
1994-10-13,100000.0,0.0,100000.0,0
1994-10-14,100000.0,0.0,100000.0,0
1994-10-17,100000.0,0.0,100000.0,0
1994-10-18,100000.0,0.0,100000.0,0
1994-10-19,100000.0,0.0,100000.0,0
1994-10-20,100000.0,0.0,100000.0,0
1994-10-21,100000.0,0.0,100000.0,0
1994-10-24,100000.0,0.0,100000.0,0
1994-10-25,100000.0,0.0,100000.0,0
1994-10-26,100000.0,0.0,100000.0,0
1994-10-27,100000.0,0.0,100000.0,0
1994-10-28,100000.0,0.0,100000.0,0
1994-10-31,100000.0,0.0,100000.0,0
1994-11-01,100000.0,0.0,100000.0,0
1994-11-02,100000.0,0.0,100000.0,0
1994-11-03,100000.0,0.0,100000.0,0
1994-11-04,100000.0,0.0,100000.0,0
1994-11-07,100000.0,0.0,100000.0,0
1994-11-08,100000.0,0.0,100000.0,0
1994-11-09,100000.0,0.0,100000.0,0
1994-11-10,100000.0,0.0,100000.0,0
1994-11-11,100000.0,0.0,100000.0,0
1994-11-14,100000.0,0.0,100000.0,0
1994-11-15,100000.0,0.0,100000.0,0
1994-11-16,100000.0,0.0,100000.0,0
1994-11-17,100000.0,0.0,100000.0,0
1994-11-18,100000.0,0.0,100000.0,0
1994-11-21,100000.0,0.0,100000.0,0
1994-11-22,100000.0,0.0,100000.0,0
1994-11-23,100000.0,0.0,100000.0,0
1994-11-24,100000.0,0.0,100000.0,0
1994-11-25,100000.0,0.0,100000.0,0
1994-11-28,100000.0,0.0,100000.0,0
1994-11-29,100000.0,0.0,100000.0,0
1994-11-30,100000.0,0.0,100000.0,0
1994-12-01,100000.0,0.0,100000.0,0
1994-12-02,100000.0,0.0,100000.0,0
1994-12-05,100000.0,0.0,100000.0,0
1994-12-06,100000.0,0.0,100000.0,0
1994-12-07,100000.0,0.0,100000.0,0
1994-12-08,100000.0,0.0,100000.0,0
1994-12-09,100000.0,0.0,100000.0,0
1994-12-12,100000.0,0.0,100000.0,0
1994-12-13,100000.0,0.0,100000.0,0
1994-12-14,100000.0,0.0,100000.0,0
1994-12-15,100000.0,0.0,100000.0,0
1994-12-16,100000.0,0.0,100000.0,0
1994-12-19,100000.0,0.0,100000.0,0
1994-12-20,100000.0,0.0,100000.0,0
1994-12-21,100000.0,0.0,100000.0,0
1994-12-22,100000.0,0.0,100000.0,0
1994-12-23,100000.0,0.0,100000.0,0
1994-12-26,100000.0,0.0,100000.0,0
1994-12-27,100000.0,0.0,100000.0,0
1994-12-28,100000.0,0.0,100000.0,0
1994-12-29,100000.0,0.0,100000.0,0
1994-12-30,100000.0,0.0,100000.0,0
1995-01-02,100000.0,0.0,100000.0,0
1995-01-03,100000.0,0.0,100000.0,0
1995-01-04,100000.0,0.0,100000.0,0
1995-01-05,100000.0,0.0,100000.0,0
1995-01-06,100000.0,0.0,100000.0,0
1995-01-09,100000.0,0.0,100000.0,0
1995-01-10,100000.0,0.0,100000.0,0
1995-01-11,100000.0,0.0,100000.0,0
1995-01-12,100000.0,0.0,100000.0,0
1995-01-13,100000.0,0.0,100000.0,0
1995-01-16,100000.0,0.0,100000.0,0
1995-01-17,100000.0,0.0,100000.0,0
1995-01-18,100000.0,0.0,100000.0,0
1995-01-19,100000.0,0.0,100000.0,0
1995-01-20,100000.0,0.0,100000.0,0
1995-01-23,100000.0,0.0,100000.0,0
1995-01-24,100000.0,0.0,100000.0,0
1995-01-25,100000.0,0.0,100000.0,0
1995-01-26,100000.0,0.0,100000.0,0
1995-01-27,100000.0,0.0,100000.0,0
1995-01-30,100000.0,0.0,100000.0,0
1995-01-31,100000.0,0.0,100000.0,0
1995-02-01,100000.0,0.0,100000.0,0
1995-02-02,100000.0,0.0,100000.0,0
1995-02-03,100000.0,0.0,100000.0,0
1995-02-06,100000.0,0.0,100000.0,0
1995-02-07,100000.0,0.0,100000.0,0
1995-02-08,100000.0,0.0,100000.0,0
1995-02-09,100000.0,0.0,100000.0,0
1995-02-10,100000.0,0.0,100000.0,0
1995-02-13,100000.0,0.0,100000.0,0
1995-02-14,100000.0,0.0,100000.0,0
1995-02-15,100000.0,0.0,100000.0,0
1995-02-16,100000.0,0.0,100000.0,0
1995-02-17,100000.0,0.0,100000.0,0
1995-02-20,100000.0,0.0,100000.0,0
1995-02-21,100000.0,0.0,100000.0,0
1995-02-22,100000.0,0.0,100000.0,0
1995-02-23,100000.0,0.0,100000.0,0
1995-02-24,100000.0,0.0,100000.0,0
1995-02-27,100000.0,0.0,100000.0,0
1995-02-28,100000.0,0.0,100000.0,0
1995-03-01,100000.0,0.0,100000.0,0
1995-03-02,100000.0,0.0,100000.0,0
1995-03-03,100000.0,0.0,100000.0,0
1995-03-06,100000.0,0.0,100000.0,0
1995-03-07,100000.0,0.0,100000.0,0
1995-03-08,100000.0,0.0,100000.0,0
1995-03-09,100000.0,0.0,100000.0,0
1995-03-10,100000.0,0.0,100000.0,0
1995-03-13,100000.0,0.0,100000.0,0
1995-03-14,100000.0,0.0,100000.0,0
1995-03-15,100000.0,0.0,100000.0,0
1995-03-16,100000.0,0.0,100000.0,0
1995-03-17,100000.0,0.0,100000.0,0
1995-03-20,100000.0,0.0,100000.0,0
1995-03-21,100000.0,0.0,100000.0,0
1995-03-22,100000.0,0.0,100000.0,0
1995-03-23,100000.0,0.0,100000.0,0
1995-03-24,100000.0,0.0,100000.0,0
1995-03-27,100000.0,0.0,100000.0,0
1995-03-28,100000.0,0.0,100000.0,0
1995-03-29,100000.0,0.0,100000.0,0
1995-03-30,100000.0,0.0,100000.0,0
1995-03-31,100000.0,0.0,100000.0,0
1995-04-03,100000.0,0.0,100000.0,0
1995-04-04,100000.0,0.0,100000.0,0
1995-04-05,100000.0,0.0,100000.0,0
1995-04-06,100000.0,0.0,100000.0,0
1995-04-07,100000.0,0.0,100000.0,0
1995-04-10,100000.0,0.0,100000.0,0
1995-04-11,100000.0,0.0,100000.0,0
1995-04-12,100000.0,0.0,100000.0,0
1995-04-13,100000.0,0.0,100000.0,0
1995-04-14,100000.0,0.0,100000.0,0
1995-04-17,100000.0,0.0,100000.0,0
1995-04-18,100000.0,0.0,100000.0,0
1995-04-19,100000.0,0.0,100000.0,0
1995-04-20,100000.0,0.0,100000.0,0
1995-04-21,100000.0,0.0,100000.0,0
1995-04-24,100000.0,0.0,100000.0,0
1995-04-25,100000.0,0.0,100000.0,0
1995-04-26,100000.0,0.0,100000.0,0
1995-04-27,100000.0,0.0,100000.0,0
1995-04-28,100000.0,0.0,100000.0,0
1995-05-01,100000.0,0.0,100000.0,0
1995-05-02,100000.0,0.0,100000.0,0
1995-05-03,100000.0,0.0,100000.0,0
1995-05-04,100000.0,0.0,100000.0,0
1995-05-05,100000.0,0.0,100000.0,0
1995-05-08,100000.0,0.0,100000.0,0
1995-05-09,100000.0,0.0,100000.0,0
1995-05-10,100000.0,0.0,100000.0,0
1995-05-11,100000.0,0.0,100000.0,0
1995-05-12,100000.0,0.0,100000.0,0
1995-05-15,100000.0,0.0,100000.0,0
1995-05-16,100000.0,0.0,100000.0,0
1995-05-17,100000.0,0.0,100000.0,0
1995-05-18,100000.0,0.0,100000.0,0
1995-05-19,100000.0,0.0,100000.0,0
1995-05-22,100000.0,0.0,100000.0,0
1995-05-23,100000.0,0.0,100000.0,0
1995-05-24,100000.0,0.0,100000.0,0
1995-05-25,100000.0,0.0,100000.0,0
1995-05-26,100000.0,0.0,100000.0,0
1995-05-29,100000.0,0.0,100000.0,0
1995-05-30,100000.0,0.0,100000.0,0
1995-05-31,100000.0,0.0,100000.0,0
1995-06-01,100000.0,0.0,100000.0,0
1995-06-02,100000.0,0.0,100000.0,0
1995-06-05,100000.0,0.0,100000.0,0
1995-06-06,100000.0,0.0,100000.0,0
1995-06-07,100000.0,0.0,100000.0,0
1995-06-08,100000.0,0.0,100000.0,0
1995-06-09,100000.0,0.0,100000.0,0
1995-06-12,100000.0,0.0,100000.0,0
1995-06-13,100000.0,0.0,100000.0,0
1995-06-14,100000.0,0.0,100000.0,0
1995-06-15,100000.0,0.0,100000.0,0
1995-06-16,100000.0,0.0,100000.0,0
1995-06-19,100000.0,0.0,100000.0,0
1995-06-20,100000.0,0.0,100000.0,0
1995-06-21,100000.0,0.0,100000.0,0
1995-06-22,100000.0,0.0,100000.0,0
1995-06-23,100000.0,0.0,100000.0,0
1995-06-26,100000.0,0.0,100000.0,0
1995-06-27,100000.0,0.0,100000.0,0
1995-06-28,100000.0,0.0,100000.0,0
1995-06-29,100000.0,0.0,100000.0,0
1995-06-30,100000.0,0.0,100000.0,0
1995-07-03,100000.0,0.0,100000.0,0
1995-07-04,100000.0,0.0,100000.0,0
1995-07-05,100000.0,0.0,100000.0,0
1995-07-06,100000.0,0.0,100000.0,0
1995-07-07,100000.0,0.0,100000.0,0
1995-07-10,100000.0,0.0,100000.0,0
1995-07-11,100000.0,0.0,100000.0,0
1995-07-12,100000.0,0.0,100000.0,0
1995-07-13,100000.0,0.0,100000.0,0
1995-07-14,100000.0,0.0,100000.0,0
1995-07-17,100000.0,0.0,100000.0,0
1995-07-18,100000.0,0.0,100000.0,0
1995-07-19,100000.0,0.0,100000.0,0
1995-07-20,100000.0,0.0,100000.0,0
1995-07-21,100000.0,0.0,100000.0,0
1995-07-24,100000.0,0.0,100000.0,0
1995-07-25,100000.0,0.0,100000.0,0
1995-07-26,100000.0,0.0,100000.0,0
1995-07-27,100000.0,0.0,100000.0,0
1995-07-28,100000.0,0.0,100000.0,0
1995-07-31,100000.0,0.0,100000.0,0
1995-08-01,100000.0,0.0,100000.0,0
1995-08-02,100000.0,0.0,100000.0,0
1995-08-03,100000.0,0.0,100000.0,0
1995-08-04,100000.0,0.0,100000.0,0
1995-08-07,100000.0,0.0,100000.0,0
1995-08-08,100000.0,0.0,100000.0,0
1995-08-09,100000.0,0.0,100000.0,0
1995-08-10,100000.0,0.0,100000.0,0
1995-08-11,100000.0,0.0,100000.0,0
1995-08-14,100000.0,0.0,100000.0,0
1995-08-15,100000.0,0.0,100000.0,0
1995-08-16,100000.0,0.0,100000.0,0
1995-08-17,100000.0,0.0,100000.0,0
1995-08-18,100000.0,0.0,100000.0,0
1995-08-21,100000.0,0.0,100000.0,0
1995-08-22,100000.0,0.0,100000.0,0
1995-08-23,100000.0,0.0,100000.0,0
1995-08-24,100000.0,0.0,100000.0,0
1995-08-25,100000.0,0.0,100000.0,0
